name,id
Universitas Telkom,ODcyMEY5MkMtREQyMi00RDU3LUI3MEItNTZDNzJFNUVGREMw
Universitas Harapan Bangsa,QzM3NjIwRTMtOTBBNi00MjdCLUE4NDUtMjFCNTMzQTk5RjdF
Universitas Bina Darma,NzIxQ0I4NzctNTg0QS00ODg4LUEwRUEtQzI4MzEwQ0M0QzNE
Universitas Teknokrat Indonesia,Njc0NzdEQTctNkUyMy00RjlBLTgxODgtQzE3NDU0RTFDQjkw
Universitas Methodist Indonesia,ODhFMzgzRTMtOUJBMS00MEEyLTlENUItNDgwOEMyNjY5N0Q5
Universitas Dharmawangsa,QzQ1MDUyQUMtRUU2Ri00NTVELTg4ODItODA4REUwMEJGMDFG
Universitas Muhammadiyah Palembang,NkRFOEI0OTgtNUQyQS00RTY1LTlCODItQThEOUMzMzU2OUUy
Institut Informatika dan Bisnis Darmajaya,NDk3OUU5RTYtOTk1Qi00NDA5LTk2OTEtNEJBREI0NUNBNUZB
Universitas Pendidikan Indonesia,QkNGNjNCMDctRTcwMi00OTA3LTk2MjEtMjFERDdBRUY3NEI0
Universitas Jenderal Achmad Yani,QkQ4QjgyRTQtQzA5Ny00MDU0LUJFRDMtQ0ZFRDFGNzlFMDE0
Universitas Presiden,OUIyQ0UwOTQtODYwRC00MDc4LTk5N0MtRDY1OTYwM0MzNzUy
Sekolah Tinggi Intelijen Negara,OUYyNkFGNDItOTAyRS00MTE1LTk5MEItNDJCMTNGRkIyQTA0
Politeknik Negeri Jakarta,NzAzMEMyMTYtRDg3OC00QTdDLUJDN0QtNUY1ODQ3M0E1MEFB
Institut Teknologi Harapan Bangsa,NjM5REM3OUMtQzg0MC00RkU5LUJGNDYtMDM3Qjk1M0UyRjE0
