name,id,alamat,kota/kab,no telp,email,website,Total Dosen - 20191,Total Mhs - 20191,Total Dosen - 20192,Total Mhs - 20192,Total Dosen - 20201,Total Mhs - 20201,Total Dosen - 20202,Total Mhs - 20202,Total Dosen - 20211,Total Mhs - 20211,Total Dosen - 20212,Total Mhs - 20212,Total Dosen - 20221,Total Mhs - 20221,Total Dosen - 20222,Total Mhs - 20222
Universitas Teknologi Yogyakarta,ODcyMEY5MkMtREQyMi00RDU3LUI3MEItNTZDNzJFNUVGREMw,Jalan Ring Road Utara Jombor Sleman,Kab. Sleman,0274-623310,info@uty.ac.id,uty.ac.id,380,15396,462,13234,440,16080,495,13698,566,15371,568,14365,652,15128,537,12809
Universitas  Harapan Bangsa,QzM3NjIwRTMtOTBBNi00MjdCLUE4NDUtMjFCNTMzQTk5RjdF,Jalan Raden Patah No. 100 Kel. Ledug,Kec. Kembaran,02816843493,info@uhb.ac.id,uhb.ac.id,208,1504,207,1377,202,1706,168,1746,187,2291,171,2078,186,2587,175,2372
Universitas Bina Darma,NzIxQ0I4NzctNTg0QS00ODg4LUEwRUEtQzI4MzEwQ0M0QzNE,Jalan Jenderal Ahmad Yani No.12 Plaju,Kec. Plaju,0711-515582,universitas@binadarma.ac.id,www.binadarma.ac.id,344,7339,294,6774,331,7092,277,6770,320,7069,264,6429,270,7353,252,6263
Universitas Teknokrat Indonesia,Njc0NzdEQTctNkUyMy00RjlBLTgxODgtQzE3NDU0RTFDQjkw,Jl. Z.A. Pagar Alam No. 9-11 Labuhan Ratu,Kec. Labuhan Ratu,0721-702022,uti@teknokrat.ac.id,www.teknokrat.ac.id,410,7107,350,6293,359,6536,309,6198,323,6544,279,6494,282,6269,235,5296
Universitas Methodist Indonesia,ODhFMzgzRTMtOUJBMS00MEEyLTlENUItNDgwOEMyNjY5N0Q5,Jalan Hang Tuah No 8 ,Kec. Medan Polonia,0614536465,info@methodist.ac.id,www.methodist.ac.id,198,6088,192,5044,226,5632,267,5065,300,5690,261,4410,297,5616,268,4331
Universitas Dharmawangsa,QzQ1MDUyQUMtRUU2Ri00NTVELTg4ODItODA4REUwMEJGMDFG,Jalan K L Yos Sudarso No 224 ,Kec. Medan Barat,061-661-3783,univ@dharmawangsa.ac.id,www.dharmawangsa.ac.id,203,3567,195,3179,229,3679,191,3314,243,3584,204,2818,237,3698,215,3620
Universitas Muhammadiyah Palembang,NkRFOEI0OTgtNUQyQS00RTY1LTlCODItQThEOUMzMzU2OUUy,Jalan Jenderal Ahmad Yani 13 ULU PLAJU PALEMBANG,Kec. Seberang Ulu II,0711-513022,humas@um-palembang.ac.id,www.um-palembang.ac.id,664,14138,664,11350,708,11758,706,10907,746,11506,631,10285,788,11385,733,9791
Institut Informatika Dan Bisnis Darmajaya,NDk3OUU5RTYtOTk1Qi00NDA5LTk2OTEtNEJBREI0NUNBNUZB,Jl ZA Pagar Alam No 93 Labuhan Ratu (dh. STMIK-STIE Daramajaya),Kec. Kedaton,"(0721)787214, 781310",info@darmajaya.ac.id,http://darmajaya.ac.id,217,4978,247,6036,250,4918,225,4559,205,4930,213,4610,215,5337,214,3843
Universitas Pendidikan Indonesia,QkNGNjNCMDctRTcwMi00OTA3LTk2MjEtMjFERDdBRUY3NEI0,Jalan Dr Setiabudhi No 229 ,Kota Bandung,022-2013163,sekuniv_upi@upi.edu,www.upi.edu,2868,35417,2224,33302,3928,41694,3666,41205,3515,46607,3309,40031,3449,50196,3100,40783
Universitas Jenderal Achmad Yani,QkQ4QjgyRTQtQzA5Ny00MDU0LUJFRDMtQ0ZFRDFGNzlFMDE0,Jl Terusan Jenderal Sudirman ,Kota Cimahi,(022) 6610223,akademik@unjani.ac.id,www.unjani.ac.id,448,16609,481,15931,532,17760,552,17150,957,19145,999,17567,1043,21909,1004,13160
Universitas Presiden,OUIyQ0UwOTQtODYwRC00MDc4LTk5N0MtRDY1OTYwM0MzNzUy,"Jl. Ki Hajar Dewantara, Kota Jababeka, Cikarang Baru, Bekasi ",Kec. Cikarang Pusat,(021) 8910 9762-63,rector@president.ac.id,www.president.ac.id,271,8095,317,7873,247,6561,229,6443,311,6855,251,6534,249,7141,250,7028
Sekolah Tinggi Intelijen Negara	,OUYyNkFGNDItOTAyRS00MTE1LTk5MEItNDJCMTNGRkIyQTA0,,Kec. Babakan Madang,02518271478,info@stin.ac.id,www.stin.ac.id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Politeknik Negeri Jakarta,NzAzMEMyMTYtRDg3OC00QTdDLUJDN0QtNUY1ODQ3M0E1MEFB,Kampus Baru Universitas Indonesia,Kota Depok,021-7270036,humas@pnj.ac.id,www.pnj.ac.id,834,7675,759,7550,788,7612,727,7474,821,8271,769,7915,868,9040,814,8918
Institut Teknologi Harapan Bangsa,NjM5REM3OUMtQzg0MC00RkU5LUJGNDYtMDM3Qjk1M0UyRjE0,Jalan Dipatiukur No 80-84,Kota Bandung,"022-2506636, 2506604",humas@ithb.ac.id,www.ithb.ac.id,96,957,71,966,85,1002,78,971,139,929,76,961,138,847,72,744
