name,id,alamat,kota/kab,no telp,email,website,Total Dosen - 20191,Total Mhs - 20191,Total Dosen - 20192,Total Mhs - 20192,Total Dosen - 20201,Total Mhs - 20201,Total Dosen - 20202,Total Mhs - 20202,Total Dosen - 20211,Total Mhs - 20211,Total Dosen - 20212,Total Mhs - 20212,Total Dosen - 20221,Total Mhs - 20221,Total Dosen - 20222,Total Mhs - 20222
Universitas Malikussaleh,MjBCOUI4OEYtODVGMi00Mzc4LUJDNkYtNzlFNTlBNDE5NEE3,"Cot Tengku Nie Reuleut Muara Batu, Aceh Utara",Kec. Muara Batu,0645-41373,info@unimal.ac.id,www.unimal.ac.id,893,19911,804,19078,823,21547,790,19484,1006,22621,882,20889,1213,22497,1122,15445
Universitas Samudra,RjFDRDAzRDQtNDI5Ni00RDgzLTg4RDUtNzNGRDVFQkM3REI2,Jalan Kampus Meurandeh -Langsa ,Kota Langsa,0641-426534,info@unsam.ac.id,unsam.ac.id,282,10322,277,7449,292,8606,278,7517,316,8446,336,7525,573,8493,514,0
Universitas Syiah Kuala,MEU2MEIxODQtMTI5My00NTI1LThDQzAtNDAwODIwMTJFODMw,"Universitas Syiah Kuala  Jln. Teuku Nyak Arief Darussalam, Banda Aceh, Aceh, 2",Kec. Syiah Kuala,(0651) 755-3205,rektor@unsyiah.ac.id,www.unsyiah.ac.id,3530,30610,3220,27667,3796,33350,3832,31336,4540,36234,4356,32940,4642,38799,4233,32154
Universitas Teuku Umar,MjVEOUMzQjUtOUIwRi00RERELUI2MzAtMzc3NjBBRDJFRDFB,-Jln. Alue Peunyareng Kecamatan Meureubo Kabupaten Aceh Barat Meulaboh,Kec. Meureubo,0655-7110535,info@utu.ac.id,utu.ac.id,349,7285,309,7032,383,8459,336,7782,560,9630,485,8164,574,8605,543,7776
Institut Agama Islam Negeri Lhokseumawe,ODBBQjQxMTgtQzBCMS00RUMzLTg4QkYtOTU1RUVDMEUzRTRF,-,Kota Lhokseumawe,(0645) 47267,info@iainlhokseumawe.ac.id,www.iainlhokseumawe.ac.id,295,5659,309,5362,355,6167,321,5612,419,6088,374,5796,431,6155,382,5584
Institut Agama Islam Negeri Takengon,ODhDRkYzMTItNDcwMC00RkQyLTkzMUQtQjQ1QTM5NjRGQzhE,"Jl. Yos Sudarso/A. Dimot No.10 Takengon, Aceh Tengah Telp. 0643 23268/22422 Fax : 0643 23268",Kab. Aceh Tengah,0643- 23268/22422, humas@iain-takengon.ac.id, www.iain-takengon.ac.id,0,2326,0,2326,0,2026,0,1556,178,1205,77,869,139,758,0,1
Institut Seni Budaya Indonesia Aceh,REQ4RDMxNUUtQTk1MC00NjQyLTgwQTMtNDNENDAyMzk5MkRB,Jl. Transmigrasi No. 62,Kec. Kota Jantho,0651-92023,info@isbiaceh.ac.id,www.isbiaceh.ac.id,63,395,53,394,55,462,57,422,67,444,61,375,79,420,68,369
Akademi Komunitas Negeri Aceh Barat,NEEyNUZFNkUtRUQ3Ri00NjcxLTkzNEMtNDY0MzQ3MDFFMTg0, Jalan Iskandar Muda Komplek STTU Alue Penyareng,Kec. Meureubo,06557110271,info@aknacehbarat.ac.id,http://aknacehbarat.ac.id/,22,144,19,144,21,174,19,162,25,370,22,347,28,349,23,119
Politeknik Negeri Lhokseumawe,MjM1NTVEMzAtMTMwOS00RTI1LUI3NkEtNTBDMDNERUEzMzhF,Jalan Medan-Banda Aceh Km 280 Buketrata-Kota Lhokseumawe,Kec. Blang Mangat,0645-42785,poltek@pnl.ac.id,www.pnl.ac.id,589,4464,576,4462,563,4715,540,4706,585,4322,589,4088,665,4527,619,0
Institut Agama Kristen Negeri Tarutung,N0YxNDQyRUUtQzdDRC00MUVDLUEzNTktMDUzNzE4RDlDRkMy,,Kec. Sipoholon,(0633) 322060,iakntarutung@gmail.com,https://www.iakntarutung.ac.id/,155,1998,165,2005,209,2721,170,2708,203,3112,231,3056,248,3456,257,1928
