name,id,alamat,kota/kab,no telp,email,website,Total Dosen - 20191,Total Mhs - 20191,Total Dosen - 20192,Total Mhs - 20192,Total Dosen - 20201,Total Mhs - 20201,Total Dosen - 20202,Total Mhs - 20202,Total Dosen - 20211,Total Mhs - 20211,Total Dosen - 20212,Total Mhs - 20212,Total Dosen - 20221,Total Mhs - 20221,Total Dosen - 20222,Total Mhs - 20222
STKIP Bina Bangsa Meulaboh,NUIyMjg5QTktMDNDMC00NDk1LTg5RUItQkExQjVDQjZFQ0ZE,Lampaseh Kota ,Kab. Aceh Barat,082282715077, info@stkipbbm.ac.id, www.stkipbbm.ac.id,31,624,30,515,39,560,34,404,38,409,32,354,35,434,32,418
STAI Darul Hikmah Aceh Barat,NDlGQTVDOEUtQTZFMC00NDA4LTgyQzAtMkNGMEY4MzE4NDIx, Jl. Nasional Meulaboh-Tapak Tuan Km.6,Kab. Aceh Barat,082247364907, staidhacehbarat@gmail.com, ,4,149,8,163,4,79,23,78,2,108,7,99,11,151,11,65
Sekolah Tinggi Ilmu Manajemen Indonesia Meulaboh,RDJDREM0MzktMUM2Mi00MEY3LUI0ODItMjk0MTM0QTM4NEI3,Jalan Bakti Pemuda Meulaboh Aceh Barat,Kab. Aceh Barat,081360773333,stimi.meulaboh@gmail.com,http://stimi.ac.id,7,1035,6,722,8,717,8,656,10,504,9,503,12,506,11,154
Akademi Kebidanan Public Health Medical Nursing,RkREREZEODUtQzQxRi00MjBGLTk5MjQtNkQ2OTA0NjE5NEE0,Jl Cendrawasih No 14 Rundeng ,Kec. Johan Pahlawan,0655-7551204, , ,0,268,0,236,0,239,0,239,0,57,0,47,0,60,0,0
STKIP Muhammadiyah Aceh Barat Daya,NjhGODNGMjItMTM5RS00NzY4LUIxMzEtQjQyQjc0RUFFNUIx,Jln. Nasional Komplek Pendidikan Padang Meurantee Susoh-Blangpidie,Kab. Aceh Barat Daya, 0812-697-4955,stkip_abdya@yahoo.com,http://stkipmuabdya.ac.id/,17,391,17,368,17,457,18,451,18,527,18,513,20,1942,19,52
STIT Muhammadiyah Aceh Barat Daya,NDFERTYyMjUtNEQwRC00NEFFLUI5NkMtOThGREY5QzdDQ0Y2, Jln. Nasional (Komplek Pendidikan) Padang Meurante Aceh Barat Daya,Kab. Aceh Barat Daya,085277117004,stitmuhammadiyahabdya@ymail.com,Www.stit-muabdya.ac.id,13,234,14,307,22,292,13,209,13,122,11,22,14,161,0,0
Universitas Abulyatama,NUVDNjU5NTYtMzRBOC00NkJCLUFFNjAtQzU0REYwQjBFREQ2,"Jl Blang Bintang Lama Km 8,5 Lampoh Keude, Aceh Besar, Aceh",Kec. Kuta Baro,(0651)34488,sekertariat@abulyatama.ac.id,abulyatama.ac.id,321,7122,314,4998,287,4561,268,4271,417,4634,332,4309,377,5843,329,167
,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akademi Kebidanan Nadhirah,RDQwOTU4MDItNUZBRS00RTU1LUJBMDgtN0Q2MDYzMDI4OEFB,Jl Soekarno-Hatta ,Kab. Aceh Besar,06517454883,nadhirah@akbid.info,nadhirah.akbid.info,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Politeknik Indonesia Venezuela,RjZCMTQ5N0EtQ0Y1Ni00OEQ4LTg5RjEtMjA2RjMwQjZFMTUy," Jl. Bandara Sultan Iskandar Muda Km 12 Desa Cot Suruy , Kec. Ingin Jaya, Kab. A",Kab. Aceh Besar,0651-34492,poliven_aceh@yahoo.com,www.poliven.ac.id,26,152,27,153,27,239,33,217,42,355,29,339,44,352,27,127
,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Politeknik Aceh Selatan,NTM4MDc0NzctMzFDOS00ODMwLTgwQzUtNEE0NDNDRTk4OEM3,"Jl. Merdeka Komplek Reklamasi Pantai Kota Tapaktuan, Kabupaten Aceh Selatan",Kab. Aceh Selatan,0656-323749,humas@poltas.ac.id,www.poltas.ac.id,28,412,31,403,29,377,33,352,35,315,32,314,35,370,32,324
Akademi Keperawatan Yappkes Aceh Singkil,MDI1QTM0QTEtODQ0NC00RTIxLUIzMTItRjYwNTVERjhFMjYx,Jl Raya Rimo-Singkil Km 10 ,Kab. Aceh Singkil,0658-21877,akperyappkes@gmail.com, http://akperyappkes.ac.id,7,59,6,68,7,89,7,86,7,108,7,108,8,116,6,48
,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Universitas Gajah Putih,OTY5MzA3REUtMzgwMi00MkZGLThDMjAtRjkyMTI1OTU2QTZC,Jalan Aman Dimot No 10 ,Kab. Aceh Tengah,0643-23129,info@ugp.c.id,ugp.ac.id,94,4900,35,1686,63,2097,137,2091,132,2317,101,2319,100,2230,89,2006
STIKES Payung Negeri Aceh Darussalam,NjA1Nzk3RkItQTIwRi00RDY0LUI4NjAtRjE5OTdFNzNEMTcz,Jl. Bireuen-Takengon Desa Lut Kucak Kec. Wih Pesam Kabuaten Bener Meriah,Kab. Bener Meriah,085362367607,stikespnad389@gmail.com,http://stikesypnad.ac.id,16,401,28,337,24,449,27,445,2,641,9,614,8,702,12,389
,,,,,,,0,163,0,161,0,192,0,191,0,216,0,174,0,0,0,0
Sekolah Tinggi Ilmu Hukum Muhammadiyah Takengon,RUY2QzY4NzYtMDQ5My00RjU1LUE1QTAtREFCREQzMkYyQjNF,Jalan Qurata Aini Mampak Kebayakan,Kab. Aceh Tengah,(0643) 24425,stihmat@gmail.com,http://stihmat.ac.id,9,1157,9,1162,8,883,3,577,9,578,7,578,9,854,7,0
